                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7222,                 2.1772,                 1.6571,                0.08333,                0.17029,                0.03429,                0.00972,                 2.7666,                 9.4028,                 2.8791,             0.00065844,             0.00065844,             0.00065844
                      2,                 2.1713,                  2.472,                 2.0904,                0.24582,                0.23188,                0.13261,                0.04553,                 2.4961,                 20.452,                 2.8363,              0.0012989,              0.0012989,              0.0012989
                      3,                 2.3019,                 2.6736,                 2.2167,                0.10718,                0.11232,                0.04153,                0.01638,                 2.7069,                 5.3342,                 2.9263,              0.0019129,              0.0019129,              0.0019129
                      4,                 2.2936,                 2.6222,                 2.1987,                0.13743,                0.23551,                0.09856,                0.03566,                  2.372,                 4.2208,                 2.5163,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2252,                 2.5291,                 2.1571,                0.24888,                0.15942,                0.10511,                0.04326,                 2.2396,                 4.2908,                 2.3055,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.1005,                 2.3682,                 2.0464,                0.39168,                0.32246,                0.22446,                0.09053,                 2.1193,                 4.0738,                 2.1582,               0.001802,               0.001802,               0.001802
                      7,                 1.9724,                 2.1716,                 1.9784,                0.58338,                0.38043,                 0.4175,                0.17205,                  2.021,                 2.1653,                 1.9569,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.891,                 2.0082,                 1.8534,                0.68064,                0.40942,                 0.4775,                0.21742,                 2.0043,                 1.9838,                 2.0238,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8598,                 1.9993,                 1.8386,                0.66363,                 0.4289,                0.49518,                0.23385,                 1.8692,                 2.0947,                 1.8864,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8096,                 1.9245,                 1.8021,                0.64752,                0.47101,                0.51823,                0.25047,                 1.7779,                 1.6496,                 1.8107,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.7107,                 1.7747,                 1.7332,                0.58396,                0.56522,                0.57114,                0.27194,                  1.735,                 1.6592,                 1.8098,               0.001604,               0.001604,               0.001604
                     12,                 1.7019,                 1.6982,                 1.6959,                0.61622,                0.56884,                0.58427,                0.27566,                 1.7488,                 1.4416,                 1.7596,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6596,                 1.6682,                 1.6785,                0.59822,                0.57971,                0.57079,                0.29113,                 1.7366,                 1.4585,                 1.7495,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6116,                 1.6038,                 1.6367,                0.67967,                0.55797,                0.59169,                 0.3006,                  1.655,                 1.4614,                 1.7369,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5811,                 1.5732,                 1.6124,                0.67259,                0.61594,                0.62516,                0.32071,                 1.6217,                 1.4489,                 1.6757,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5348,                 1.5172,                 1.5546,                0.71508,                0.57246,                0.62932,                0.29931,                 1.7052,                 1.3282,                 1.7258,               0.001406,               0.001406,               0.001406
                     17,                 1.5395,                 1.5102,                  1.579,                0.60579,                0.61245,                 0.6137,                0.32391,                 1.5731,                 1.4142,                 1.6376,              0.0013664,              0.0013664,              0.0013664
